id,width,length,height,weight
P001,3,5,4,80
P002,2,7,1,31
P003,1,1,1,42
P004,1,1,1,24
P005,1,1,2,109
P006,3,4,3,86
P007,3,6,1,17
P008,2,1,3,101
P009,1,2,2,92
P010,3,1,1,52
P011,2,3,1,78
P012,5,3,1,27
P013,5,1,3,63
P014,1,7,3,29
P015,5,3,2,78
P016,1,2,4,40
P017,2,5,2,30
P018,2,2,4,46
P019,3,1,2,80
P020,3,2,2,98
P021,3,1,2,75
P022,5,5,1,97
P023,1,7,2,97
P024,3,1,4,60
P025,5,5,1,80
P026,4,1,2,14
P027,2,3,2,118
P028,1,1,1,92
P029,5,5,2,103
P030,1,5,2,24
P031,2,3,1,110
P032,2,4,1,110
P033,1,5,2,4
P034,1,2,2,90
P035,1,7,4,24
P036,3,7,1,67
P037,3,1,3,43
P038,2,1,4,52
P039,1,4,4,55
P040,5,2,4,37
P041,5,6,4,44
P042,3,2,4,4
P043,2,1,1,93
P044,2,1,3,49
P045,1,3,3,70
P046,5,3,4,16
P047,1,2,4,105
P048,1,3,1,114
P049,2,6,2,107
P050,2,2,3,1
P051,2,3,3,79
P052,3,3,3,100
P053,4,4,1,16
P054,5,5,4,75
P055,3,6,1,54
P056,1,1,2,22
P057,3,7,3,42
P058,1,2,1,50
P059,3,3,2,91
P060,4,6,3,73
P061,1,2,4,76
P062,1,4,4,15
P063,3,5,4,101
P064,5,3,1,25
P065,1,4,3,106
P066,5,3,1,83
P067,5,2,2,19
P068,5,5,4,59
P069,1,1,3,118
P070,5,1,4,48
P071,3,2,2,104
P072,2,5,2,63
P073,3,6,4,15
P074,3,7,1,7
P075,2,5,4,57
P076,2,4,1,109
P077,1,5,3,95
P078,3,3,4,8
P079,1,3,2,63
P080,5,3,2,46
P081,3,7,1,97
P082,1,2,1,77
P083,4,4,3,101
P084,2,3,4,18
P085,1,4,1,56
P086,5,6,3,94
P087,5,7,3,95
P088,4,6,2,82
P089,5,4,1,18
P090,3,5,3,37
P091,5,6,4,6
P092,5,1,4,1
P093,5,6,1,56
P094,3,5,4,47
P095,3,6,1,70
P096,1,6,4,85
P097,3,3,4,119
P098,1,6,4,88
P099,3,1,3,83
P100,1,1,1,25
